  -6	   4
  -8	   5
 -11	   5
 -13	   4
 -13	   2
  -9	  -1
   0	  -3
  15	  -1
  35	   6
  59	  19
  87	  39
 113	  63
 131	  92
 132	 122
 124	 148
 106	 156
  86	 150
  64	 130
  40	 106
  21	  83
   4	  57
  -4	  34
 -10	  14
 -11	   2
 -11	  -3
  -9	  -4
  -5	  -4
  -3	  -1
  -1	   3
  -2	   7
  -3	   9
  -4	  10
  -4	   9
  -2	   8
  -3	   8
  -3	   8
  -3	   7
  -2	   7
  -2	   7
  -3	   7
  -2	   7
  -2	   6
  -2	   5
  -3	   5
  -3	   6
  -3	   6
  -3	   6
  -3	   5
  -3	   5
  -3	   5
  -2	   4
  -2	   5
  -2	   4
  -2	   5
  -2	   5
  -2	   5
  -2	   5
  -2	   6
  -1	   6
  -1	   5
  -1	   6
  -1	   6
   0	   7
   0	   7
   0	   7
   0	   7
   0	   7
   1	   8
   1	   8
   2	   9
   2	   9
   2	   9
   2	  10
   2	  11
   3	  11
   4	  11
   4	  12
   5	  12
   6	  12
   6	  13
   6	  13
   6	  14
   7	  14
   7	  13
   7	  13
   8	  14
   8	  14
   8	  15
   9	  15
   8	  16
   8	  16
   7	  16
   8	  16
   7	  16
   7	  17
   7	  17
   7	  17
   6	  17
   5	  17
   5	  17
   5	  17
   5	  17
   4	  18
   4	  18
   4	  17
   4	  16
   3	  16
   3	  16
   4	  16
   3	  16
   3	  17
   3	  17
   3	  17
   3	  17
   3	  17
   4	  17
   4	  17
   5	  17
   5	  18
   6	  19
   7	  20
   8	  20
   9	  21
  10	  23
  12	  24
  13	  24
  14	  26
  15	  27
  17	  29
  19	  30
  20	  32
  21	  34
  22	  35
  24	  37
  24	  38
  25	  39
  25	  39
  27	  40
  28	  40
  27	  42
  28	  43
  29	  44
  30	  44
  30	  45
  30	  47
  30	  46
  30	  47
  30	  46
  30	  48
  30	  48
  30	  48
  30	  48
  30	  49
  31	  49
  30	  49
  30	  49
  29	  49
  29	  49
  29	  48
  28	  47
  28	  48
  27	  47
  26	  48
  25	  46
  23	  46
  22	  44
  20	  43
  20	  42
  18	  40
  17	  39
  15	  38
  14	  37
  12	  35
  11	  34
  10	  32
   9	  30
   8	  29
   7	  28
   5	  28
   5	  26
   4	  25
   2	  24
   1	  23
   1	  21
   0	  20
   0	  20
  -1	  20
  -2	  19
  -3	  18
  -3	  17
  -3	  17
  -5	  17
  -5	  16
  -6	  15
  -7	  15
  -8	  14
  -9	  13
  -8	  12
 -10	  11
 -10	  11
 -11	  10
 -12	  10
 -13	  10
 -13	  10
 -13	   9
 -14	   9
 -14	   8
 -15	   8
 -15	   7
 -15	   6
 -16	   6
 -17	   6
 -16	   5
 -16	   4
 -17	   4
 -18	   4
 -18	   4
 -18	   3
 -19	   3
 -19	   3
 -19	   2
 -20	   2
 -20	   1
 -20	   1
 -20	   0
 -21	   0
 -21	   0
 -21	   0
 -21	   0
 -22	  -1
 -22	  -2
 -23	  -2
 -23	  -2
 -23	  -2
 -23	  -3
 -23	  -3
 -23	  -3
 -24	  -3
 -24	  -3
 -24	  -4
 -24	  -4
 -24	  -5
 -23	  -6
 -25	  -5
 -25	  -4
 -26	  -4
 -26	  -4
 -26	  -5
 -26	  -5
 -26	  -5
 -26	  -5
 -26	  -6
 -26	  -5
 -27	  -5
 -27	  -6
 -28	  -6
 -28	  -6
 -28	  -6
 -28	  -6
 -28	  -7
 -28	  -7
 -28	  -7
 -29	  -7
 -29	  -7
 -30	  -8
 -30	  -7
 -30	  -8
 -29	  -8
 -29	  -9
 -29	  -8
 -30	  -8
 -29	  -9
 -29	  -9
 -30	  -9
 -30	  -9
 -30	 -10
 -30	 -11
 -30	 -10
 -31	 -10
 -31	 -10
 -32	 -11
 -32	 -11
 -32	 -11
 -32	 -11
 -31	 -12
 -31	 -13
 -32	 -12
 -32	 -13
 -32	 -12
 -32	 -13
 -32	 -12
 -32	 -12
 -32	 -13
 -32	 -13
 -31	 -14
 -31	 -13
 -32	 -13
 -32	 -13
 -32	 -13
 -31	 -13
 -30	 -13
 -30	 -13
 -30	 -13
 -31	 -13
 -31	 -13
 -32	 -14
 -32	 -14
 -33	 -14
 -33	 -16
 -33	 -17
 -33	 -17
 -33	 -17
 -34	 -18
 -33	 -18
 -34	 -19
 -34	 -19
 -34	 -19
 -33	 -19
 -33	 -19
 -33	 -19
 -32	 -18
 -32	 -18
 -32	 -18
 -31	 -18
 -30	 -18
 -30	 -17
 -29	 -17
 -29	 -17
 -29	 -16
 -29	 -16
 -29	 -16
 -29	 -16
 -29	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -28	 -15
 -27	 -15
 -26	 -14
 -25	 -15
 -25	 -14
 -25	 -13
 -24	 -13
 -24	 -12
 -24	 -12
 -24	 -12
 -23	 -12
 -22	 -12
 -23	 -12
 -23	 -12
 -23	 -13
 -23	 -13
 -22	 -12
 -23	 -12
 -22	 -12
 -22	 -13
 -22	 -13
 -22	 -12
 -22	 -13
 -22	 -13
 -22	 -13
 -22	 -12
 -21	 -12
 -21	 -13
 -20	 -13
 -21	 -13
 -21	 -13
 -21	 -13
 -21	 -12
 -22	 -12
 -21	 -12
 -21	 -12
 -19	 -13
 -19	 -12
 -19	 -12
 -20	 -11
 -19	 -12
 -20	 -12
 -20	 -12
 -20	 -12
 -20	 -12
 -20	 -13
 -20	 -13
 -20	 -13
 -20	 -13
 -20	 -13
 -20	 -13
 -20	 -13
 -19	 -13
 -19	 -13
 -20	 -13
 -21	 -12
 -21	 -12
 -21	 -12
 -21	 -13
 -20	 -14
 -20	 -14
 -20	 -14
 -20	 -13
 -20	 -13
 -20	 -13
 -20	 -13
 -19	 -13
 -19	 -13
 -19	 -14
 -19	 -14
 -19	 -14
 -19	 -14
 -19	 -14
 -19	 -15
 -19	 -15
 -19	 -15
 -19	 -15
 -19	 -14
 -19	 -15
 -19	 -16
 -19	 -15
 -18	 -15
 -18	 -15
 -18	 -15
 -16	 -14
 -15	 -14
 -14	 -13
 -14	 -13
 -13	 -13
 -12	 -12
 -12	 -12
 -11	 -11
  -9	 -11
  -6	 -11
  -2	 -10
   0	  -6
   1	  -2
   2	   0
   2	   2
   1	   4
   1	   4
   0	   3
   0	   1
   0	   0
  -1	   0
  -4	   0
  -8	   0
 -12	  -3
 -15	  -7
 -17	 -11
 -18	 -14
 -18	 -17
 -20	 -19
 -20	 -20
 -20	 -20
 -21	 -21
 -20	 -21
 -19	 -21
 -19	 -20
 -21	 -20
 -25	 -21
 -27	 -22
 -27	 -25
 -23	 -29
 -12	 -32
   5	 -30
  26	 -22
  53	  -6
  79	  14
 107	  40
 121	  68
 122	  97
 110	 121
  92	 129
  71	 119
  48	  98
  26	  73
   6	  49
  -8	  25
 -15	   2
 -20	 -14
 -21	 -23
 -22	 -26
 -19	 -27
 -15	 -27
 -12	 -25
 -12	 -20
 -12	 -16
 -12	 -14
 -12	 -14
 -13	 -15
 -13	 -16
 -12	 -16
 -11	 -16
 -11	 -15
 -11	 -14
 -10	 -14
  -9	 -14
 -10	 -14
 -10	 -13
 -10	 -13
 -10	 -13
  -9	 -13
  -9	 -12
  -8	 -11
  -8	 -12
  -8	 -11
  -8	 -11
  -7	 -10
  -6	 -10
  -5	  -9
  -5	  -8
  -5	  -8
  -5	  -8
  -5	  -7
  -5	  -7
  -5	  -7
  -4	  -6
  -3	  -6
  -3	  -6
  -3	  -5
  -3	  -4
  -2	  -4
  -2	  -4
  -2	  -4
  -2	  -3
   0	  -3
   0	  -3
   0	  -2
  -1	  -1
   0	  -1
   0	  -1
